Id,Expected
0619ebebe9e9c9d00a4262b4fe4a5a95_0,
0619ebebe9e9c9d00a4262b4fe4a5a95_1,627661 25 628941 25 630221 25 631501 25 632766 60 634046 60 635326 60 636601 70 637881 70 639161 70 640441 70 641716 85 642996 85 644276 85 645556 85 646831 90 648111 90 649391 90 650671 90 651951 95 653231 95 654511 95 655791 95 657071 100 658351 100 659631 100 660911 100 662191 100 663471 100 664751 100 666031 100 667311 105 668591 105 669871 105 671151 105 672431 105 673711 105 674991 105 676271 105 677546 115 678826 115 680106 115 681386 115 682666 115 683946 115 685226 115 686506 120 687786 120 689066 120 690346 120 691626 120 692906 120 694186 120 695466 120 696741 130 698021 130 699301 130 700581 130 701861 130 703141 130 704421 130 705701 130 706981 130 708261 130 709541 130 710821 130 712101 135 713381 135 714661 135 715941 135 717221 135 718501 135 719781 135 721061 135 722336 140 723616 140 724896 140 726176 140 727456 140 728736 140 730016 140 731296 140 732576 140 733856 140 735136 140 736411 145 737691 145 738971 145 740251 145 741531 145 742811 145 744091 145 745371 145 746651 145 747931 145 749211 145 750491 145 751766 150 753046 150 754326 150 755606 150 756886 150 758166 150 759446 150 760726 150 762006 150 763286 150 764566 150 765846 150 767126 150 768406 150 769686 150 770971 145 772251 145 773531 145 774811 145 776091 140 777371 140 778651 140 779931 140 781216 135 782496 135 783776 135 785056 135 786336 135 787616 135 788896 135 790176 135 791461 125 792741 125 794021 125 795301 125 796586 120 797866 120 799146 120 800426 120 801711 110 802991 110 804271 110 805551 110 806836 105 808116 105 809396 105 810676 105 811956 100 813236 100 814516 100 815801 90 817081 90 818361 90 819641 90 820921 85 822201 85 823481 85 824761 85 826046 75 827326 75 828606 75 829886 75 831171 55 832451 55 833731 55 835011 55 836296 30 837576 30 838856 30 840136 30
0626ab4ec3d46e602b296cc5cfd263f1_0,
0626ab4ec3d46e602b296cc5cfd263f1_1,414266 20 415546 20 416826 20 418096 35 419376 35 420656 35 421936 35 423206 50 424486 50 425766 50 427046 50 428321 55 429601 55 430881 55 432161 55 433436 65 434716 65 435996 65 437276 65 438556 65 439836 65 441116 65 442396 65 443671 75 444951 75 446231 75 447511 75 448791 75 450071 75 451351 75 452631 75 453906 80 455186 80 456466 80 457746 80 459026 80 460306 80 461586 80 462866 80 464146 80 465426 80 466706 80 467981 90 469261 90 470541 90 471821 90 473101 90 474381 90 475661 90 476941 90 478221 90 479501 90 480781 90 482061 90 483341 90 484621 90 485901 90 487181 90 488461 90 489741 90 491021 90 492301 90 493576 95 494856 95 496136 95 497416 95 498696 90 499976 90 501256 90 502536 90 503816 90 505096 90 506376 90 507656 90 508936 90 510216 90 511496 90 512771 95 514051 95 515331 95 516611 95 517891 95 519171 95 520451 95 521731 95 523011 90 524291 90 525571 90 526851 90 528131 90 529411 90 530691 90 531971 90 533251 90 534531 90 535811 90 537091 90 538371 90 539651 90 540931 90 542211 90 543491 85 544771 85 546051 85 547331 85 548611 85 549891 85 551171 85 552451 80 553731 80 555011 80 556291 80 557576 75 558856 75 560136 75 561416 75 562696 70 563976 70 565256 70 566536 70 567816 65 569096 65 570376 65 571656 65 572941 55 574221 55 575501 55 576781 55 578061 50 579341 50 580621 50 581901 50 583186 40 584466 40 585746 40 587026 40 588311 25 589591 25 590871 25 592151 25 593441 5 594721 5 596001 5
0a0317371a966bf4b3466463a3c64db1_0,
0a0317371a966bf4b3466463a3c64db1_1,474101 10 474146 10 475381 10 475426 10 476661 10 476706 10 477941 10 477986 10 479211 35 479256 30 480491 35 480536 30 481771 35 481816 30 483051 35 483096 30 484321 90 485601 90 486881 90 488161 90 489436 100 490716 100 491996 100 493276 100 494556 100 495836 100 497116 100 498396 100 499676 100 500956 100 502236 100 503516 105 504796 105 506076 105 507356 105 508636 105 509916 105 511196 105 512476 105 513756 105 515036 105 516316 105 517596 105 518876 105 520156 105 521436 105 522716 105 523996 105 525276 105 526556 105 527836 105 529116 105 530396 105 531676 105 532956 100 534236 100 535516 100 536796 100 538076 100 539356 100 540636 100 541916 100 543201 95 544481 95 545761 95 547041 90 548321 90 549601 90 550881 90 552161 90 553441 90 554721 90 556001 90 557286 80 558566 80 559846 80 561126 80 562406 75 563686 75 564966 75 566246 75 567531 65 568811 65 570091 65 571371 65 572656 55 573936 55 575216 55 576501 45 577781 45 579061 45 580341 45 581631 20 582911 20 584191 20 585471 20
0a5f3601ad4f13ccf1f4b331a412fc44_0,538301 20 539581 20 540861 20 542141 20 543416 25 544696 25 545976 25 547256 25 548526 40 549806 40 551086 40 552361 60 553641 60 554921 60 556201 60 557476 70 558756 70 560036 70 561316 70 562591 80 563871 80 565151 80 566431 80 567706 85 568986 85 570266 85 571546 85 572821 90 574101 90 575381 90 576661 90 577936 95 579216 95 580496 95 581776 95 583056 95 584336 95 585616 95 586896 95 588171 95 589451 95 590731 95 592011 95 593286 100 594566 100 595846 100 597121 105 598401 105 599681 105 600961 105 602236 110 603516 110 604796 110 606076 110 607351 115 608631 115 609911 115 611191 115 612466 120 613746 120 615026 120 616306 120 617576 130 618856 130 620136 130 621416 130 622691 135 623971 135 625251 135 626531 135 627806 140 629086 140 630366 140 631646 140 632921 145 634201 145 635481 145 636756 150 638036 150 639316 150 640596 150 641871 150 643151 150 644431 150 645711 150 646991 150 648271 150 649551 150 650831 150 652106 155 653386 155 654666 155 655946 155 657221 155 658501 155 659781 155 661061 155 662341 155 663621 155 664901 155 666181 155 667456 160 668736 160 670016 160 671296 160 672571 165 673851 165 675131 165 676411 165 677691 160 678971 160 680251 160 681526 165 682806 165 684086 165 685366 165 686641 170 687921 170 689201 170 690481 170 691761 165 693041 165 694321 165 695601 165 696881 165 698161 165 699441 165 700721 165 701996 170 703276 170 704556 170 705836 170 707116 165 708396 165 709676 165 710956 165 712231 170 713511 170 714791 170 716071 170 717351 170 718631 170 719911 170 721191 170 722471 165 723751 165 725031 165 726306 170 727586 170 728866 170 730146 170 731426 165 732706 165 733986 165 735266 165 736546 165 737826 165 739106 165 740386 165 741661 165 742941 165 744221 165 745501 165 746781 165 748061 165 749341 165 750621 165 751901 165 753181 165 754461 165 755741 165 757016 165 758296 165 759576 165 760856 165 762136 165 763416 165 764696 165 765976 165 767251 165 768531 165 769811 165 771091 160 772371 160 773651 160 774931 160 776206 160 777486 160 778766 160 780046 160 781326 115 782606 115 783886 115 785166 115 786441 115 787721 115 789001 115 790281 115 791556 115 792836 115 794116 115 795396 115 796676 115 797956 115 799236 115 800516 115 801791 120 803071 120 804351 120 805631 120 806911 125 808191 125 809471 125 810751 125 812026 130 813306 130 814586 130 815861 140 817141 140 818421 140 819701 140 820981 140 822261 140 823541 140 824821 140 826096 145 827376 145 828656 145 829936 145 831216 145 832496 145 833776 145 835056 145 836336 145 837616 145 838896 145 840176 145 841451 150 842731 150 844011 150 845291 150 846571 150 847851 150 849131 150 850411 150 851691 145 852971 145 854251 145 855531 145 856811 145 858091 145 859371 145 860651 145 861931 145 863211 145 864491 145 865786 130 867066 130 868346 130 869626 130 870911 125 872191 125 873471 125 874751 125 876036 120 877316 120 878596 120 879876 120 881156 120 882436 120 883716 120 884996 120 886281 115 887561 115 888841 115 890121 115 891401 115 892681 115 893961 115 895241 115 896526 105 897806 105 899086 105 900366 100 901646 100 902926 100 904206 100 905491 95 906771 95 908051 95 909331 95 910616 80 911896 80 913176 80 914456 80 915736 75 917016 75 918296 75 919576 75 920866 55 922146 55 923426 55 924706 55 926001 20 927281 20 928561 20 929841 20
0a5f3601ad4f13ccf1f4b331a412fc44_1,
0af3feff05dec1eb3a70b145a7d8d3b6_0,422531 10 423811 10 425091 10 426356 40 427636 40 428916 40 430196 40 431471 55 432751 55 434031 55 435311 55 436586 65 437866 65 439146 65 440426 65 441701 75 442981 75 444261 75 445536 90 446816 90 448096 90 449376 90 450651 100 451931 100 453211 100 454491 100 455766 110 457046 110 458326 110 459606 110 460881 125 462161 125 463441 125 464716 135 465996 135 467276 135 468556 135 469836 140 471116 140 472396 140 473676 140 474951 155 476231 155 477511 155 478791 155 480066 165 481346 165 482626 165 483906 170 485186 170 486466 170 487746 170 489021 175 490301 175 491581 175 492861 175 494136 185 495416 185 496696 185 497976 185 499251 195 500531 195 501811 195 503086 200 504366 200 505646 200 506926 200 508206 205 509486 205 510766 205 512046 205 513321 210 514601 210 515881 210 517161 210 518441 215 519721 215 521001 215 522281 215 523561 215 524841 215 526121 215 527401 220 528681 220 529961 220 531241 220 532521 220 533801 220 535081 220 536361 220 537641 225 538921 225 540201 225 541481 225 542761 225 544041 225 545321 225 546601 225 547881 225 549161 225 550441 225 551721 230 553001 230 554281 230 555561 230 556841 230 558121 230 559401 230 560686 225 561966 225 563246 225 564526 225 565806 225 567086 225 568366 225 569646 225 570926 230 572206 230 573486 230 574766 230 576046 230 577326 230 578606 230 579886 230 581166 230 582446 230 583726 230 585006 230 586286 230 587566 230 588846 230 590131 230 591411 230 592691 230 593971 230 595251 230 596531 230 597811 230 599096 225 600376 225 601656 225 602936 225 604216 225 605496 225 606776 225 608056 225 609341 220 610621 220 611901 220 613181 220 614461 220 615741 220 617021 220 618301 225 619581 225 620861 225 622141 225 623426 220 624706 220 625986 220 627266 220 628546 220 629826 220 631106 220 632386 220 633666 220 634946 220 636226 220 637506 225 638786 225 640066 225 641346 225 642626 225 643906 225 645186 225 646466 225 647746 225 649026 225 650306 225 651586 225 652866 225 654146 225 655426 225 656706 225 657986 225 659266 225 660546 225 661826 230 663106 230 664386 230 665666 230 666951 225 668231 225 669511 225 670791 225 672071 225 673351 225 674631 225 675911 225 677191 225 678471 225 679751 225 681031 225 682311 225 683591 225 684871 225 686151 230 687431 230 688711 230 689991 230 691271 230 692551 230 693831 230 695111 230 696391 230 697671 230 698951 230 700236 225 701516 225 702796 225 704076 225 705356 225 706636 225 707916 225 709196 230 710476 230 711756 230 713036 230 714321 225 715601 225 716881 225 718161 225 719441 225 720721 225 722001 225 723281 225 724566 225 725846 225 727126 225 728406 225 729686 225 730966 225 732246 225 733531 220 734811 220 736091 220 737371 220 738651 220 739931 220 741211 220 742491 220 743776 215 745056 215 746336 215 747616 215 748896 215 750176 215 751456 215 752741 210 754021 210 755301 210 756581 210 757861 185 759141 185 760421 185 761701 185 762981 165 764261 165 765541 165 766826 150 768106 150 769386 150 770666 150 771946 140 773226 140 774506 140 775786 140 777071 135 778351 135 779631 135 780911 135 782191 130 783471 130 784751 130 786036 120 787316 120 788596 120 789876 120 791156 120 792436 120 793716 120 794996 120 796281 110 797561 110 798841 110 800121 110 801406 100 802686 100 803966 100 805246 100 806526 100 807806 100 809086 100 810371 95 811651 95 812931 95 814211 95 815496 85 816776 85 818056 85 819336 85 820621 75 821901 75 823181 75 824466 65 825746 65 827026 65 828306 65 829591 50 830871 50 832151 50 833431 50 834721 30 836001 30 837281 30 838561 30
0af3feff05dec1eb3a70b145a7d8d3b6_1,
0fca6a4248a41e8db8b4ed633b456aaa_0,
0fca6a4248a41e8db8b4ed633b456aaa_1,912011 25 913291 25 914571 25 915851 25 917121 45 918401 45 919681 45 920956 55 922236 55 923516 55 924796 55 926071 65 927351 65 928631 65 929911 65 931191 65 932471 65 933751 65 935026 70 936306 70 937586 70 938866 70 940141 75 941421 75 942701 75 943981 75 945261 75 946541 75 947821 75 949101 75 950376 80 951656 80 952936 80 954216 85 955496 85 956776 85 958056 85 959336 85 960616 85 961896 85 963176 85 964456 85 965736 85 967016 85 968296 85 969576 80 970856 80 972136 80 973416 80 974696 80 975976 80 977256 80 978536 80 979816 80 981096 80 982376 80 983656 80 984936 80 986216 80 987496 80 988771 85 990051 85 991331 85 992611 85 993891 85 995171 85 996451 85 997731 80 999011 80 1000291 80 1001571 80 1002851 80 1004131 80 1005411 80 1006691 80 1007971 75 1009251 75 1010531 75 1011816 70 1013096 70 1014376 70 1015656 70 1016936 65 1018216 65 1019496 65 1020776 65 1022061 55 1023341 55 1024621 55 1025901 55 1027186 50 1028466 50 1029746 50 1031031 35 1032311 35 1033591 35 1034871 35
1002ec4a1fe748f3085f1ce88cbdf366_0,
